VO-Nr.;Gutschrift-Nr.;Fakturadatum;Steuernummer;Umsatzsteuernummer-ID;POS;Netz;Bezeichnung;Preis / Prozent;Anzahl;Netto Wert;USt. Satz;USt.;Brutto
21222073;280339718;07.08.2018;3581563187;;1;HW;(unknown);0,00 EUR;149;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;2;Loop;Aufladebeteiligung Prepaid;0,30 EUR;691;207,30 EUR;19%;39,39 EUR;246,69 EUR
21222073;280339718;07.08.2018;3581563187;;3;Loop;Aufladebeteiligung Prepaid;0,60 EUR;42;25,20 EUR;19%;4,79 EUR;29,99 EUR
21222073;280339718;07.08.2018;3581563187;;4;Loop;Aufladebeteiligung Prepaid;0,90 EUR;3331;2.997,90 EUR;19%;569,60 EUR;3.567,50 EUR
21222073;280339718;07.08.2018;3581563187;;5;Loop;Aufladebeteiligung Prepaid;1,20 EUR;1449;1.738,80 EUR;19%;330,37 EUR;2.069,17 EUR
21222073;280339718;07.08.2018;3581563187;;6;Loop;Aufladebeteiligung Prepaid;1,50 EUR;53;79,50 EUR;19%;15,11 EUR;94,61 EUR
21222073;280339718;07.08.2018;3581563187;;7;Loop;Aufladebeteiligung Prepaid;1,56 EUR;1;1,56 EUR;19%;0,30 EUR;1,86 EUR
21222073;280339718;07.08.2018;3581563187;;8;Loop;Aufladebeteiligung Prepaid;1,80 EUR;1078;1.940,40 EUR;19%;368,68 EUR;2.309,08 EUR
21222073;280339718;07.08.2018;3581563187;;9;Loop;Aufladebeteiligung Prepaid;3,00 EUR;2;6,00 EUR;19%;1,14 EUR;7,14 EUR
21222073;280339718;07.08.2018;3581563187;;10;Loop;Aufladebeteiligung Prepaid;0,30 EUR;23;6,90 EUR;19%;1,31 EUR;8,21 EUR
21222073;280339718;07.08.2018;3581563187;;11;Loop;Aufladebeteiligung Prepaid;0,60 EUR;4;2,40 EUR;19%;0,46 EUR;2,86 EUR
21222073;280339718;07.08.2018;3581563187;;12;Loop;Aufladebeteiligung Prepaid;0,90 EUR;96;86,40 EUR;19%;16,42 EUR;102,82 EUR
21222073;280339718;07.08.2018;3581563187;;13;Loop;Aufladebeteiligung Prepaid;1,20 EUR;23;27,60 EUR;19%;5,24 EUR;32,84 EUR
21222073;280339718;07.08.2018;3581563187;;14;Loop;Aufladebeteiligung Prepaid;1,50 EUR;1;1,50 EUR;19%;0,29 EUR;1,79 EUR
21222073;280339718;07.08.2018;3581563187;;15;Loop;Aufladebeteiligung Prepaid;1,80 EUR;22;39,60 EUR;19%;7,52 EUR;47,12 EUR
21222073;280339718;07.08.2018;3581563187;;16;Loop;Aufladeprämie;0,00 EUR;16255;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;17;Loop;Aufladeprämie;2,50 EUR;90;225,00 EUR;19%;42,75 EUR;267,75 EUR
21222073;280339718;07.08.2018;3581563187;;18;Loop;Aufladeprämie;3,00 EUR;22;66,00 EUR;19%;12,54 EUR;78,54 EUR
21222073;280339718;07.08.2018;3581563187;;19;Loop;Aufladeprämie;5,00 EUR;2478;12.390,00 EUR;19%;2.354,10 EUR;14.744,10 EUR
21222073;280339718;07.08.2018;3581563187;;20;Loop;Aufladeprämie;6,00 EUR;461;2.766,00 EUR;19%;525,54 EUR;3.291,54 EUR
21222073;280339718;07.08.2018;3581563187;;21;Loop;Aufladeprämie;6,50 EUR;1211;7.871,50 EUR;19%;1.495,59 EUR;9.367,09 EUR
21222073;280339718;07.08.2018;3581563187;;22;Loop;Aufladeprämie;8,00 EUR;144;1.152,00 EUR;19%;218,88 EUR;1.370,88 EUR
21222073;280339718;07.08.2018;3581563187;;23;Loop;AyDE Flat;0,00 EUR;5;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;24;Loop;Handy Internet Flat 1.25GB;0,00 EUR;4;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;25;Loop;Internet Flat 3.5GB;0,00 EUR;4;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;26;Loop;Internet Flat 5.5GB;0,00 EUR;5;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;27;Loop;Internet Flat 5.5GB;4,50 EUR;1;4,50 EUR;19%;0,86 EUR;5,36 EUR
21222073;280339718;07.08.2018;3581563187;;28;Loop;Internet-Flat 11GB;0,00 EUR;2;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;29;Loop;Smart L;0,00 EUR;5;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;30;Loop;Smart M;0,00 EUR;16;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;31;Loop;Smart S;0,00 EUR;7;0,00 EUR;19%;0,00 EUR;0,00 EUR
21222073;280339718;07.08.2018;3581563187;;32;Loop;Smart XXL;0,00 EUR;9;0,00 EUR;19%;0,00 EUR;0,00 EUR
